#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP           4008.9610264629105    All      -0.5289401388026678       0.6410808250112865        -4.515988995365809       0.1795864727846379        
Zeropoint     VEGAHST|ACSWF|F775W            3413.1390676906412    All      -0.8484178624573215       -0.02800343243425374      1.9218605955820083       0.3529997822859294        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5123.597159787621     All      2.387873384671126         0.38036088269226553       2.7092112909433137       -0.5330132101366862       
Check         All|All|All                    All                   All      1.0105153834111364        0.9934382752692983        0.11508289115951342      -0.0004269550661188948    
Lambda        VEGAHST|ACSWF|F850LP           4008.9610264629105    All      -0.0004899803992079665    0.00049484554391333       -0.004135384702824995    0.00013624698333363912    
Lambda        VEGAHST|ACSWF|F775W            3413.1390676906412    All      -0.0015920606822870881    -0.0001712347623586742    0.005261652238608858     0.0006976131194194878     
Lambda        VEGAHST|NICMOS2|F110W_faint    5123.597159787621     All      0.0009395351175362805     0.00014407630568098232    0.0011006356642846216    -0.000209990790178601     
MWEBV         All|All|All                    All                   All      -0.1070722526123733       -1.229014486633595        0.27082709101220387      -0.3533677272158143       
Redshift      All|All|All                    All                   All      2.4784438563918645        -0.3913318486221229       2.749915593532662        -0.8120642569055416       
