#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP           4008.9610264629105    All      -0.5643104002879873        0.6204146250635034         -4.5629804447610836      0.1822790568140789        
Zeropoint     VEGAHST|ACSWF|F775W            3413.1390676906412    All      -0.9334427411491628        -0.023778335048518784      2.0512236789842873       0.38784431600048586       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5123.597159787621     All      2.5099544405399383         0.3968735238444765         2.6339900845763347       -0.5707570928692195       
Check         All|All|All                    All                   All      1.0122012991027882         0.9935098138594611         0.12223331879953836      -0.000633720054654785     
Lambda        VEGAHST|ACSWF|F850LP           4008.9610264629105    All      -0.00037933896618301793    0.0005296220187662574      -0.004023071655030992    0.00011654728606189885    
Lambda        VEGAHST|ACSWF|F775W            3413.1390676906412    All      -0.0017655417139019968     -0.00022972948342722977    0.00695162423853503      0.0008104836322977414     
Lambda        VEGAHST|NICMOS2|F110W_faint    5123.597159787621     All      0.0010037990624844064      0.00015594086190315925     0.001157729571388427     -0.0002245111561241149    
MWEBV         All|All|All                    All                   All      -0.10130183302100026       -1.228292510027984         0.2419243388780995       -0.3563019682673238       
Redshift      All|All|All                    All                   All      2.4298694227818705         -0.43824623971477905       0.9998151376280406       -0.8896224718702307       
