#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7339.945613512347    All      0.08413410039039323       0.00421355188997552        0.08310969682793026        -0.02232394789413396      
Zeropoint     AB|SDSS|SDSS_r            5090.929578305798    All      0.7046931518563947        0.33405312382868146        -0.5773491570696819        -0.14649409203461228      
Zeropoint     AB|SDSS|SDSS_g            3896.017036494967    All      -1.0233595445949728       0.5782635501235589         0.07998416082305354        0.5252706595281076        
Zeropoint     AB|SDSS|SDSS_i            6173.641917564798    All      1.232914202298652         0.0824543672049316         0.4181835573337095         -0.3560810057781766       
Check         All|All|All               All                  All      0.9983819099504667        0.9989845930471475         0.003928257915011335       0.0003716138211847797     
Lambda        AB|SDSS|SDSS_z            7339.945613512347    All      -1.887773734502915e-05    -8.697806361779224e-07     -1.7379931979546594e-05    5.0901974031444115e-06    
Lambda        AB|SDSS|SDSS_r            5090.929578305798    All      -7.798681464391124e-06    9.302706522058692e-06      -0.0010167364211830041     -3.980179208977907e-05    
Lambda        AB|SDSS|SDSS_g            3896.017036494967    All      -0.0010727011164851185    0.00046863642939828524     -0.001268009704019014      0.00044547889786084656    
Lambda        AB|SDSS|SDSS_i            6173.641917564798    All      -0.0002037431161566475    -2.4408360321851607e-05    -0.00022206777719323802    4.850536493789e-05        
MWEBV         All|All|All               All                  All      -0.5725090514916706       -3.172764924824456         0.08863513835407237        -0.8430335046834782       
Redshift      All|All|All               All                  All      5.322745630053012         0.6222710833318601         -1.2014367731898887        -1.5847138060743213       
