#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7339.945613512347    All      0.07350334941427529        0.005460136764057211       0.09151298830327725       -0.018080108551358012      
Zeropoint     AB|SDSS|SDSS_r            5090.929578305798    All      0.723618198208143          0.33456837464047595        -0.6487156057502275       -0.1556755249366281        
Zeropoint     AB|SDSS|SDSS_g            3896.017036494967    All      -0.9880958305743279        0.5679622238686122         -0.0032159213728233382    0.5067157893208024         
Zeropoint     AB|SDSS|SDSS_i            6173.641917564798    All      1.189370133782967          0.09099561020136093        0.5663838986828096        -0.3325016056879678        
Check         All|All|All               All                  All      0.9983958508310574         0.9989863454745063         0.005965359863036035      0.00045855014484846857     
Lambda        AB|SDSS|SDSS_z            7339.945613512347    All      -1.3971266174439922e-05    7.075769207365421e-07      1.9410072045702482e-05    5.64756448385593e-06       
Lambda        AB|SDSS|SDSS_r            5090.929578305798    All      -5.254385428927773e-05     2.5040421484635006e-05     -0.0009472080041089334    -1.6997791787951522e-05    
Lambda        AB|SDSS|SDSS_g            3896.017036494967    All      -0.0010523560635422148     0.00046632575569161667     -0.0013794334851465904    0.0004331268507390061      
Lambda        AB|SDSS|SDSS_i            6173.641917564798    All      -0.00023406200769554645    -2.5471173963827353e-05    -4.317911599134778e-05    6.601801134882882e-05      
MWEBV         All|All|All               All                  All      -0.5687007914221431        -3.17244494586415          0.11470675153059107       -0.8430062962483116        
Redshift      All|All|All               All                  All      5.228150885028486          0.4549633629594041         -3.046519738572795        -1.6907363929164676        
