#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6102.061604321934    All      1.2035490405986724         -0.09509264841511822      -0.1311397423020666       -0.4288624865502195       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4281.967560968473    All      -0.9330522786186068        0.6545693368289918        -0.05148279076123696      0.5148431508512408        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5295.483889906566    All      0.17986040497324807        0.5549579859210674        -0.04442523976501134      0.12019912804560676       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7434.281073502773    All      0.5450293806041581         -0.11555403064971159      0.22642658593116094       -0.20506937100368097      
Check         All|All|All                                All                  All      0.9953865475574718         0.9988806436852293        -0.000621186897153958     0.0011104213429470322     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6102.061604321934    All      -0.00032198502224006217    -2.472435657317792e-05    -0.0007365478470892138    6.395883081943387e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4281.967560968473    All      -0.00028120489156059744    0.00013874085812203547    -0.0003016028438665319    0.00012333099676642282    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5295.483889906566    All      -0.00023699084135301972    0.00010659184708119526    -0.001431482416645242     4.803569946378398e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7434.281073502773    All      -0.0002037618333907904     7.196096131914429e-06     -0.0004926609087825164    4.673074430602609e-05     
MWEBV         All|All|All                                All                  All      -0.8398730732418254        -3.9704676310588383       0.023081204845509795      -1.0187076328186249       
Redshift      All|All|All                                All                  All      7.076038657172495          -0.13105549999483657      6.116335229565106         -2.0746437233605577       
