#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6102.061604321934    All      1.2473140973670038         -0.10983727865001569       -0.05897605489212352      -0.44470068258542034      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4281.967560968473    All      -0.9873576009680464        0.6693980568847735         -0.09456502972689353      0.5354398204495882        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5295.483889906566    All      0.16712442922633558        0.5725204178801846         -0.0011257863152267988    0.13200057196373385       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7434.281073502773    All      0.5691445085980629         -0.13331326373187125       0.15507035004789482       -0.22189352911184773      
Check         All|All|All                                All                  All      0.9962254342233557         0.9987679323830712         0.0004034791136509619     0.0008461807160539403     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6102.061604321934    All      -0.0002908924467417049     -1.6955278690680992e-05    -0.0006165248916874993    6.17176735797513e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4281.967560968473    All      -0.0003271242450358895     0.00016060346097309766     -0.0003161576576501043    0.00014476029541072408    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5295.483889906566    All      -0.00016326390098095426    9.479567857128791e-05      -0.0012491309117523956    2.8315519427414972e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7434.281073502773    All      -0.00018995435987987616    8.136628352661139e-06      -0.0004385672762850899    4.4953508593315955e-05    
MWEBV         All|All|All                                All                  All      -0.8400141636859146        -3.9735058612235363        0.008689107690133945      -1.0202935797342259       
Redshift      All|All|All                                All                  All      7.225050253350543          -0.13324135543406612       5.968741668631556         -2.130480130352471        
