#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4563.1199676138      All      0.7596026573639063        0.5732240119890264         2.679831812155834          0.05887892928028318        
Zeropoint     AB|SDSS|SDSS_g            3492.091740799534    All      -1.0133860981340301       0.21466057785701764        -0.9381173993472286        0.35815133299038354        
Zeropoint     AB|SDSS|SDSS_i            5533.580512876095    All      1.0356117674745156        0.2031626401443276         -2.0945952542171273        -0.364628233601933         
Zeropoint     AB|SDSS|SDSS_z            6578.965957993789    All      0.2134627559632812        0.006778236060611675       0.3577091096909684         -0.051361033184041324      
Check         All|All|All               All                  All      0.9952910826676729        0.9978254660509833         0.0048282682824465906      0.0010409954846924002      
Lambda        AB|SDSS|SDSS_r            4563.1199676138      All      -0.0005126875868846187    -0.00024022004472225807    -0.0032155778911206875     -5.4744830267483274e-05    
Lambda        AB|SDSS|SDSS_g            3492.091740799534    All      -0.001763353492965268     0.00030360789514853506     -0.0017139670245001086     0.0005967908487808757      
Lambda        AB|SDSS|SDSS_i            5533.580512876095    All      -0.0001239773584183124    -3.3565956885393934e-05    -0.0022000359593543723     -6.872753254027056e-05     
Lambda        AB|SDSS|SDSS_z            6578.965957993789    All      -7.40144392448177e-05     -4.180820762215401e-06     -0.00020913555985794852    1.3414347486014118e-05     
MWEBV         All|All|All               All                  All      -0.6393737066223348       -2.6902631928589216        -0.2982113529989334        -0.6813499809763651        
Redshift      All|All|All               All                  All      8.623180177390097         1.2527130549360166         20.58592225271127          -1.4821484605318032        
