#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4563.1199676138      All      0.2782047873112577         0.6249945548145064         0.9589393935643287        0.15575389720572044        
Zeropoint     AB|SDSS|SDSS_g            3492.091740799534    All      -0.7693700875988193        0.17690430465684415        -0.9342527927143962       0.26654128978950853        
Zeropoint     AB|SDSS|SDSS_i            5533.580512876095    All      1.1825975778017073         0.1882336193194334         -0.36761259075213104      -0.34030191642192703       
Zeropoint     AB|SDSS|SDSS_z            6578.965957993789    All      0.30028990455111826        0.009295636004935659       0.35612593194525033       -0.07889414197709554       
Check         All|All|All               All                  All      0.9917221820652642         0.9994281147957196         0.013199942043051749      0.0030991285962063686      
Lambda        AB|SDSS|SDSS_r            4563.1199676138      All      -0.00017294485668254182    -0.00021385402642603028    -0.0006332271816129098    -4.1583483265295475e-05    
Lambda        AB|SDSS|SDSS_g            3492.091740799534    All      -0.0013138208388232399     -1.628924386005815e-05     -0.005031932242087389     0.0001980967028655405      
Lambda        AB|SDSS|SDSS_i            5533.580512876095    All      -2.9357246942055546e-05    -5.816592295484961e-05     -0.0011300513711360247    -5.9812936110237614e-05    
Lambda        AB|SDSS|SDSS_z            6578.965957993789    All      -1.2414579180831269e-06    -3.51843357367807e-06      -4.551442435552397e-05    -2.772785600098283e-06     
MWEBV         All|All|All               All                  All      -0.6273753281855403        -2.664699829557904         0.11350233989197989       -0.6585585279502159        
Redshift      All|All|All               All                  All      8.282292601425445          1.6683466316600004         23.37855402724678         -1.1111023022907607        
