#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.534156520415    All      0.2503038810112163         0.46720762722882725        -0.6675320372467874        0.04086379710579839        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.581433328945    All      -0.9830751079858848        0.7577049296492611         0.22926448361473284        0.5772603491499558         
Zeropoint     AB|CNIa02|SDSS_i                      7406.150296220853    All      0.53931536474556           -0.12078150726937409       0.24753128226080445        -0.20396908350006643       
Zeropoint     AB|CNIa02|SDSS_r                      6107.284826017487    All      1.1901331910294135         -0.10571090856501542       0.19107040392596364        -0.4135724606698931        
Check         All|All|All                           All                  All      0.996677328800305          0.9984201410436988         0.00033413255471348435     0.0005826020857946368      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.534156520415    All      -7.005248106929787e-05     -3.6150398926866955e-06    -0.0011428445616705025     -2.9359043574022047e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.581433328945    All      -0.00021411581358389466    7.063798088348087e-05      -0.0005475207543077212     6.832034238671587e-05      
Lambda        AB|CNIa02|SDSS_i                      7406.150296220853    All      -9.477442818364377e-05     2.428934298259047e-06      -0.00022699686838935782    2.15325053786843e-05       
Lambda        AB|CNIa02|SDSS_r                      6107.284826017487    All      1.3970564221025482e-05     -1.4120217750578807e-05    -0.00011405352000109274    -1.4239776616206513e-05    
MWEBV         All|All|All                           All                  All      -0.8823165707740328        -4.049432320878221         0.03620117950553503        -1.0300183024468827        
Redshift      All|All|All                           All                  All      4.737550331385671          -0.6772606768797651        2.7244455793290046         -1.6422025941033753        
