#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.534156520415    All      0.3246265527736769         0.47199216077880024        -0.3533482295580683        0.03223351809630879       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.581433328945    All      -1.0407056014239542        0.7592483803745331         0.04461832376465347        0.5882953394639234        
Zeropoint     AB|CNIa02|SDSS_i                      7406.150296220853    All      0.4995008750777146         -0.11571719945262515       0.17825392209078333        -0.19244211309573372      
Zeropoint     AB|CNIa02|SDSS_r                      6107.284826017487    All      1.2134240806017205         -0.11694506217461154       0.13118489229616223        -0.42749081841425335      
Check         All|All|All                           All                  All      0.9968459070291578         0.9985782795260967         0.0007089085935307049      0.0005959260502451658     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.534156520415    All      -5.8456537470912364e-05    -9.683790997395063e-06     -0.0010892319573549277     -3.272053149319473e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.581433328945    All      -0.00022221922481141355    8.491529830053226e-05      -0.00043156551340160836    8.078503184883565e-05     
Lambda        AB|CNIa02|SDSS_i                      7406.150296220853    All      -0.00011941339580337715    -8.989169696450888e-06     -0.0003917169678695923     1.8488274107098405e-05    
Lambda        AB|CNIa02|SDSS_r                      6107.284826017487    All      -0.00016785053877301387    -2.2427891991838127e-05    -0.00048632072506639385    2.566667995018886e-05     
MWEBV         All|All|All                           All                  All      -0.8910242488435203        -4.048193383795695         0.01910506586739057        -1.027541283690014        
Redshift      All|All|All                           All                  All      5.096414558265881          -0.5228142437555761        2.2517318731592537         -1.7298832362862018       
