#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5868.55199256274     All      0.3364054973993045         0.018933215211092147      -1.5560405142247546       -0.17285010835081555      
Zeropoint     AB|DECam|DECam_g          3634.545163649826    All      -0.6947191127659992        0.3812753990148465        -0.5063950622286484       0.3278887258161306        
Zeropoint     AB|DECam|DECam_r          4830.580529760646    All      0.25550224883735834        0.5003638521078102        1.042321600134466         0.12627350569670154       
Zeropoint     AB|DECam|DECam_z          6877.079821424459    All      1.099085862286634          0.09851721178932848       1.0292873221417143        -0.27998576135631614      
Check         All|All|All               All                  All      0.9962744957572973         0.9990896781230774        0.00917334582277718       0.001326361805700449      
Lambda        AB|DECam|DECam_i          5868.55199256274     All      -2.8094254002842975e-05    9.390142045767304e-06     0.00042053776419730793    3.097656994906889e-05     
Lambda        AB|DECam|DECam_g          3634.545163649826    All      -0.0013488698999769534     0.0006607175494432685     -0.0015322362821470115    0.0005862120777739678     
Lambda        AB|DECam|DECam_r          4830.580529760646    All      3.0428654541027296e-05     3.5226264314755315e-05    -5.352197675947134e-05    -8.257006652506688e-07    
Lambda        AB|DECam|DECam_z          6877.079821424459    All      -0.0007951676499376552     -7.947848642528066e-05    -0.0011417423119831713    0.00018217279047904887    
MWEBV         All|All|All               All                  All      -0.4406430349980477        -2.757204368510102        0.09396424171961293       -0.7503870463832142       
Redshift      All|All|All               All                  All      7.74281795470199           -0.12365046661741985      7.612798091377915         -2.2226433494464612       
