#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          5868.55199256274     All      0.3227357429028021        0.027352349624365502      -1.4288335542913215        -0.15997836814864747      
Zeropoint     AB|DECam|DECam_g          3634.545163649826    All      -0.667524168927923        0.41754638434063907       -0.2600958561776981        0.34183629347629235       
Zeropoint     AB|DECam|DECam_r          4830.580529760646    All      0.28661594284053327       0.4367230819148915        0.8532030858864159         0.08696936867778411       
Zeropoint     AB|DECam|DECam_z          6877.079821424459    All      1.0539227753405491        0.11697809602395637       0.840952817078478          -0.2676658447481568       
Check         All|All|All               All                  All      0.9957502921559617        0.9985999119038524        0.005226492495874369       0.0011614492572721846     
Lambda        AB|DECam|DECam_i          5868.55199256274     All      -3.89075042591451e-05     1.9235415141857774e-05    0.0004470524189855236      3.88889579159673e-05      
Lambda        AB|DECam|DECam_g          3634.545163649826    All      -0.0013461092224074963    0.0006944696898192765     -0.0015497581028689092     0.0005955250984148965     
Lambda        AB|DECam|DECam_r          4830.580529760646    All      3.01416756465612e-05      2.1574370804424275e-05    -0.00015305421770970163    -9.620759826829332e-06    
Lambda        AB|DECam|DECam_z          6877.079821424459    All      -0.0008385930514092198    -9.487611109665331e-05    -0.0010001752307897082     0.0001976198481089174     
MWEBV         All|All|All               All                  All      -0.4433386264018697       -2.7514211805238276       0.10223888799602364        -0.7472559695330628       
Redshift      All|All|All               All                  All      7.852031216373963         -0.1515307361049878       6.810275653204981          -2.303112113351749        
