#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5480.8408762553545    All      1.4413065910582117         0.27943623680464214        0.04080590446542794       -0.37663841867811265       
Zeropoint     AB|MEGACAMPSF|r           4483.590518030585     All      -0.5522043659111968        0.501015177084696          -0.1956519173850165       0.33433720857138294        
Zeropoint     AB|MEGACAMPSF|g           3512.872050242603     All      -0.5413076450842933        0.22509064282623115        -0.0364272289046012       0.24801555620540525        
Zeropoint     AB|MEGACAMPSF|z           6319.514193701633     All      0.6452762728283263         -0.00544464904912445       0.19413229541434524       -0.20329797961097248       
Check         All|All|All               All                   All      0.9930708528910478         1.0000974076664448         0.0028590535901554803     0.0024163664877030477      
Lambda        AB|MEGACAMPSF|i           5480.8408762553545    All      5.752896921127997e-05      -0.00012586668993498477    -0.0015474393789475943    -0.00012879311207234043    
Lambda        AB|MEGACAMPSF|r           4483.590518030585     All      -0.0002508286182337825     -0.0001604029593614259     -0.0016333828073962053    -4.34357608276624e-05      
Lambda        AB|MEGACAMPSF|g           3512.872050242603     All      -0.0011660496652003325     0.0003852598667479494      -0.000579325736809474     0.00047945990423628145     
Lambda        AB|MEGACAMPSF|z           6319.514193701633     All      -0.00021441998199273548    -9.56451267600187e-06      -0.000226115411915154     5.6637673577966624e-05     
MWEBV         All|All|All               All                   All      -0.41594960225802424       -2.582831970359223         0.03955238349986321       -0.7040598343849243        
Redshift      All|All|All               All                   All      3.933491648671867          0.17161832347447614        -0.8211551963369824       -1.2620102889562077        
