#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5480.8408762553545    All      1.407207408930954          0.27801496687622773        0.04535557392044698        -0.3657911167516695        
Zeropoint     AB|MEGACAMPSF|r           4483.590518030585     All      -0.5228555348891827        0.5006672000442691         -0.13776755600514168       0.3272470943846083         
Zeropoint     AB|MEGACAMPSF|g           3512.872050242603     All      -0.5433135168894907        0.23407811629088116        -0.014961508601829543      0.25255436693873656        
Zeropoint     AB|MEGACAMPSF|z           6319.514193701633     All      0.6510794033143301         -0.012866141040923651      0.10692431829457671        -0.21149736571625302       
Check         All|All|All               All                   All      0.9921177604666108         0.9998941421704544         -0.00044917239194752767    0.002512978855422371       
Lambda        AB|MEGACAMPSF|i           5480.8408762553545    All      9.231954129279308e-05      -0.00014330041034562062    -0.0016196035135067257     -0.00014902463615271502    
Lambda        AB|MEGACAMPSF|r           4483.590518030585     All      -0.00026348132207664143    -0.00016250196850906576    -0.0016673346855690875     -4.1513191646706636e-05    
Lambda        AB|MEGACAMPSF|g           3512.872050242603     All      -0.0011426414890049557     0.0004228158279367929      -0.00025131074458673843    0.0004987061058414872      
Lambda        AB|MEGACAMPSF|z           6319.514193701633     All      -0.0001926587686256102     -9.777386265982141e-06     -0.00023695382354061283    4.8996321998229346e-05     
MWEBV         All|All|All               All                   All      -0.4255857246261199        -2.584259033144143         -0.0029114068451630004     -0.7032808375426094        
Redshift      All|All|All               All                   All      4.012382976524193          0.10200412517633595        -0.9633037046702597        -1.316726859572535         
