#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4744.157839327308    All      -2.352963099432699         1.356311672227406         -0.4726304763027317        1.187141497200857          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5681.133703398868    All      3.3514053816102787         -0.3537662315558521       0.4772570743111251         -1.1855984996695461        
Check         All|All|All                            All                  All      0.9984422821775796         1.002545440671554         0.004626598008393379       0.001542997531310819       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4744.157839327308    All      -0.00034566056352019624    -8.011874789584115e-05    -0.002077834925183026      -6.2285241451854905e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5681.133703398868    All      -0.0005841946746776126     4.924601642446433e-05     -0.00024324555916618726    0.00019547754055254378     
MWEBV         All|All|All                            All                  All      -0.29636653165617144       -2.639850930079213        -0.016333667607686536      -0.764078863480552         
Redshift      All|All|All                            All                  All      4.1893856400728655         1.5387596229651024        7.538752132304599          -0.5269762133491966        
