#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5399.518334677378     All      0.3566361268188801         0.09438352685693374        -0.053919517917058776      -0.08783048010312162       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4317.155609675108     All      -0.3889980928028893        0.2533635632219422         0.06029580311483094        0.21192904920246364        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4648.28110507841      All      -0.29494783371515665       0.30941141651297244        0.20575085564915724        0.2060414063361771         
Zeropoint     AB|CNIa02|SDSS_r                      6088.099039028755     All      0.6500099850875074         -0.04386140366028357       0.045123174672285014       -0.22400309896341628       
Zeropoint     AB|CNIa02|SDSS_g                      4659.136845459604     All      -0.2805495465735308        0.19778778348378268        -0.5112532747875008        0.1329953196779889         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4315.980229275657     All      -0.3366367037046516        0.2059171383099745         0.0452663334238275         0.17874766439533893        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7435.522624595141     All      0.23934510806992373        -0.03105759947494846       0.1213670250061729         -0.08266300492476435       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5410.192608570857     All      0.3209277545690264         0.08235385240160653        0.01724030718663515        -0.07694201305630322       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6127.4552234375205    All      0.48653031843809347        -0.031448333268624395      0.038523896743256195       -0.16700354327455758       
Zeropoint     AB|CNIa02|SDSS_i                      7382.884176162967     All      0.24487330027971038        -0.04054997025333407       0.033219767811436166       -0.09148930369474845       
Check         All|All|All                           All                   All      0.9971904164669132         0.9962999741300216         0.0016143709030414788      -0.00021800440494296192    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5399.518334677378     All      5.41418178386909e-05       -1.296990557975605e-05     -0.000457110243614949      -4.225922696863029e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4317.155609675108     All      -0.0002453805215781584     4.4376509269662855e-05     -0.0005886453116039347     6.811486096354469e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4648.28110507841      All      -0.0001310224306142605     -3.9801321264779205e-05    -0.0006930743861141219     -1.2150102762714677e-06    
Lambda        AB|CNIa02|SDSS_r                      6088.099039028755     All      -6.703530479449104e-05     -8.864875918018332e-06     -0.0001927466156356131     1.0346626232701531e-05     
Lambda        AB|CNIa02|SDSS_g                      4659.136845459604     All      -5.5279909450586275e-05    -1.7787768215226618e-06    -6.313861700385666e-05     1.4609492540565229e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4315.980229275657     All      -0.00010562942746689694    4.021851593060883e-05      -0.00010384014915691328    4.287356448306471e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7435.522624595141     All      -3.785085528580603e-05     -6.39189746757862e-06      -0.00015935520052323443    3.135926822978596e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5410.192608570857     All      5.077436266491272e-05      -1.3554716472582825e-05    -0.00042582687649373607    -3.995679518473531e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6127.4552234375205    All      -8.253460863070728e-05     -7.388475505748385e-07     -8.749566471996946e-05     2.2739040721008675e-05     
Lambda        AB|CNIa02|SDSS_i                      7382.884176162967     All      -4.4442543783908106e-05    -2.2301184437534115e-05    -0.00033191635668241133    -7.599733393848979e-06     
MWEBV         All|All|All                           All                   All      -0.8652809506508974        -4.036578634912402         0.024649012419183512       -1.0318960161433477        
Redshift      All|All|All                           All                   All      5.462858851271039          0.19890306920187228        5.987267251065793          -1.4474593383300176        
