#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5399.518334677378     All      0.36461434756840505        0.10500299786828649        -0.12880897471802058       -0.09031211050048449       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4317.155609675108     All      -0.38461866489997976       0.27314417957704507        0.13897840628062305        0.2204569661685571         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4648.28110507841      All      -0.30749520903600097       0.32279646223569713        0.18467059990794413        0.21354773402576105        
Zeropoint     AB|CNIa02|SDSS_r                      6088.099039028755     All      0.5794107492819087         -0.04650665396921383       -0.09315482692774449       -0.20803896239095232       
Zeropoint     AB|CNIa02|SDSS_g                      4659.136845459604     All      -0.19207133924948733       0.13979837327369182        -0.32189496530919404       0.09373618966639075        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4315.980229275657     All      -0.328666161753726         0.21427080700933132        0.08051233751640435        0.1804453286654087         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7435.522624595141     All      0.22861428478972814        -0.028480386735729724      0.11214983476317414        -0.07873946063938209       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5410.192608570857     All      0.31549429660339445        0.0916340967036966         0.0111174107116533         -0.07242251290951185       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6127.4552234375205    All      0.48334294977743236        -0.03307108763923594       -0.02145514820782249       -0.16917048622838438       
Zeropoint     AB|CNIa02|SDSS_i                      7382.884176162967     All      0.1967840281149903         -0.03637540169796338       -0.016533953880622232      -0.07668553143146545       
Check         All|All|All                           All                   All      0.9554092811966651         1.0022133866256056         -0.054419279863604855      0.012817154425937005       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5399.518334677378     All      -1.064512338322952e-05     1.4171664114663834e-05     -0.0004066150104682435     -1.0061716265881437e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4317.155609675108     All      -0.0002902033220971718     7.38811033997994e-05       -0.0005477336423385957     9.415143859823569e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4648.28110507841      All      -0.0001859225037656628     2.592630854867002e-06      -0.0006028113712854997     3.4504878421633996e-05     
Lambda        AB|CNIa02|SDSS_r                      6088.099039028755     All      4.246901555748621e-07      -1.6812867977060032e-05    -0.00012527652923211702    -1.1205355907959261e-05    
Lambda        AB|CNIa02|SDSS_g                      4659.136845459604     All      8.780593956857055e-05      -3.119870967770668e-05     -9.325421753056356e-05     -4.292523682344119e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4315.980229275657     All      -0.00013120643381271297    5.976327807264019e-05      -7.325114795959394e-05     5.893625557488234e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7435.522624595141     All      -4.035310873220448e-05     -6.933202002245927e-06     -0.00016273607767695742    3.6237993772688543e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5410.192608570857     All      2.2377221459265917e-05     1.1249054597805818e-06     -0.0004324248449293691     -2.6219713275182053e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6127.4552234375205    All      -7.802857095262325e-05     9.03438507160019e-07       -0.00010272955342849468    2.1126404117289742e-05     
Lambda        AB|CNIa02|SDSS_i                      7382.884176162967     All      -4.610617489956394e-05     -2.4977385101772382e-05    -0.0003429886447379817     -8.423665971111381e-06     
MWEBV         All|All|All                           All                   All      -0.8619368618103254        -4.039616426552239         0.014985282596548938       -1.0344060524515266        
Redshift      All|All|All                           All                   All      5.503829907291448          -0.07655470107481577       5.870518501799008          -1.5557405777263194        
