#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.030585775737    All      0.2616851598524122        0.39544702844951374        -0.4044003012070799        0.025524113137371844       
Zeropoint     AB|CNIa02|SDSS_r                      6097.696826186742    All      1.2501060273500872        -0.07240549662066442       0.14948633096561076        -0.4241146243089456        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.784300522382    All      -1.022486975940945        0.7861036958836998         0.07307143053463216        0.5923783250188565         
Zeropoint     AB|CNIa02|SDSS_i                      7394.523170614377    All      0.5081256192918046        -0.11074900823855316       0.18449919848964894        -0.1933544747026957        
Check         All|All|All                           All                  All      0.997429830553359         0.9983962194739959         0.0026566587828119326      0.00043333914458701384     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.030585775737    All      4.843357175186448e-05     -2.9372402742803105e-06    -0.0006388041212161343     -4.524005753509942e-05     
Lambda        AB|CNIa02|SDSS_r                      6097.696826186742    All      -8.629143853267906e-05    -5.662688781378883e-05     -0.00048155209364644666    -1.1826738146799011e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.784300522382    All      -0.0004107474122851729    0.00015907892376300633     -0.0007230996681677927     0.00015334256726683767     
Lambda        AB|CNIa02|SDSS_i                      7394.523170614377    All      -6.618083210480904e-05    -4.2929346013093633e-05    -0.0004937805636578672     -1.4461384732707623e-05    
MWEBV         All|All|All                           All                  All      -0.8835979961990055       -4.041775979022688         0.018287890674779057       -1.0279063654075695        
Redshift      All|All|All                           All                  All      5.209782076672106         -0.4525551397494887        3.8540830193550604         -1.672419492758942         
