#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.030585775737    All      0.3104533555540768         0.3848195796143372         -0.48107477038146773       0.00275536824690531        
Zeropoint     AB|CNIa02|SDSS_r                      6097.696826186742    All      1.1704338902950904         -0.06309576937297834       0.006561150781586589       -0.4015083980491829        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.784300522382    All      -0.9589795434135155        0.7694153514568036         0.27653821416394053        0.5753357101663775         
Zeropoint     AB|CNIa02|SDSS_i                      7394.523170614377    All      0.4747784568652042         -0.09249521605649846       0.20021720270444465        -0.1758449238277504        
Check         All|All|All                           All                  All      0.9966861593008561         0.998643945641664          0.002241797268504042       0.0007377565363494987      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.030585775737    All      -3.0330165546533312e-05    -1.4563801588567527e-05    -0.0006170119200426394     -2.2398784719177796e-05    
Lambda        AB|CNIa02|SDSS_r                      6097.696826186742    All      -0.00017999276560665833    -6.524458237080174e-05     -0.0005720345139765576     1.1849985283735562e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.784300522382    All      -0.0002533550781337857     4.9225062378071835e-05     -0.00074417290806745       6.535128733114556e-05      
Lambda        AB|CNIa02|SDSS_i                      7394.523170614377    All      -8.66011572561948e-05      -3.2249143614631495e-05    -0.00048085635072616766    -3.7541714683783987e-06    
MWEBV         All|All|All                           All                  All      -0.8886850669582733        -4.037086242873844         0.02473256854395589        -1.0244341413762375        
Redshift      All|All|All                           All                  All      5.498489734320955          0.1185699577020749         3.760225362028696          -1.5846152775312539        
