#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3854.599851219112     All      -0.5630989151897812       0.5906318453043014        4.616075337394232         0.5818023067482386        
Zeropoint     AB|SDSS|SDSS_z            7261.917236187018     All      0.10372362649856592       0.01165152845779005       0.03187258287935535       -0.02856858442550625      
Zeropoint     AB|SDSS|SDSS_i            6108.0121041601315    All      1.8334779690066227        0.22020619781990547       5.960677745965093         -0.25949801954055357      
Zeropoint     AB|SDSS|SDSS_r            5036.809698542461     All      -0.35007511005532466      0.19285054494009302       -10.534260811638152       -0.2932469303579835       
Check         All|All|All               All                   All      1.0240275702600827        1.0153401165220899        0.07436485460052822       0.0004887724241953162     
Lambda        AB|SDSS|SDSS_g            3854.599851219112     All      -0.000372048049797189     0.000495930620468884      0.004626301704705264      0.0004891798058015291     
Lambda        AB|SDSS|SDSS_z            7261.917236187018     All      -9.217127383145412e-05    -9.836272423048979e-06    -0.0006005288648415271    2.037359124297062e-08     
Lambda        AB|SDSS|SDSS_i            6108.0121041601315    All      -0.0004614633472911022    -6.815649122896669e-05    -0.0017010833585134448    5.2201444933483256e-05    
Lambda        AB|SDSS|SDSS_r            5036.809698542461     All      0.00025186683951229443    1.8537381403060155e-05    0.002639123624347986      4.1768885480925024e-05    
MWEBV         All|All|All               All                   All      -0.5955981187539678       -3.1194589693257058       -0.19493597644162364      -0.8308036089069187       
Redshift      All|All|All               All                   All      3.353049944502914         0.1679620785150604        -7.969114118271303        -1.3931128665117336       
