#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4252.547945794595    All      -0.9581540340121515        0.7167203061587912         0.2716773243415961         0.5576853855393294         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7402.379771495635    All      0.5606314545930796         -0.08227078572087265       0.4027647604986505         -0.19144086909629876       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6080.031554304395    All      1.2829470791813828         -0.05877149789599301       0.08516708460970625        -0.4332412659563017        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5264.553835285801    All      0.1121125022830885         0.42293836351614544        -0.7558243643975877        0.06751723886338352        
Check         All|All|All                                All                  All      0.9975370020453995         0.998616386058071          0.0037848050523651144      0.0005204893501125213      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4252.547945794595    All      -0.0004322294769135248     0.00017212265882401694     -0.00086876037150185       0.00015808858789634797     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7402.379771495635    All      -0.00016364856253914327    -1.3896962623444964e-05    -0.00045736107913492435    2.836909839550934e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6080.031554304395    All      -0.00023109955897518877    -2.0707550623307837e-05    -0.0003283848905628781     5.387728936311617e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5264.553835285801    All      3.2486754928044513e-06     7.355087484928045e-05      -0.0006104042234168623     -4.3397978018352265e-06    
MWEBV         All|All|All                                All                  All      -0.8353590316184971        -3.9398195242121403        0.06624119507321563        -1.0082688758529683        
Redshift      All|All|All                                All                  All      6.901068160440471          0.34617666446044026        5.001364700086035          -1.9119558736378648        
