#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4252.547945794595    All      -0.9442303581086751        0.7283442870461343         0.49458546274769866       0.5668836656518711       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7402.379771495635    All      0.5496200483356939         -0.06023102996142171       0.47468817693532284       -0.17746540653321707     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6080.031554304395    All      1.1990614783157953         -0.05042374675028327       -0.053168714788298654     -0.4093711201928585      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5264.553835285801    All      0.19311516173701415        0.38067696597563483        -0.9122340150977903       0.02038623588606625      
Check         All|All|All                                All                  All      0.9975663302798282         0.9983664763100641         0.003870909796932498      0.0004333748118617864    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4252.547945794595    All      -0.00028446477462706226    6.399606487052389e-05      -0.000878157077041315     7.431704232668598e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7402.379771495635    All      -0.00019500976710631776    -1.4208497212971035e-05    -0.0005101538618799285    3.612709798560148e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6080.031554304395    All      -0.0003646018050662872     -4.4384441695106435e-05    -0.0006238270054324418    7.646679596968609e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5264.553835285801    All      -3.531707476101298e-05     3.806348564006111e-05      -0.0005212359159365128    6.420976930852877e-07    
MWEBV         All|All|All                                All                  All      -0.8407469873081523        -3.9296161076298297        0.10572295293780343       -1.0014283634427357      
Redshift      All|All|All                                All                  All      7.540193339952897          1.1703882002589872         7.436652298926716         -1.742991457570342       
