#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6379.213594434858     All      1.2770965447982627         -0.23292705639752498      0.17040077479153481        -0.4842601612538591       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7653.066135591825     All      0.5721249672834614         -0.326338161625106        0.4084869559867421         -0.27443010291152564      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5247.943760147933     All      0.09682507792981987        1.1448996074370221        -0.641472790077624         0.3127663704451361        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4274.3497281569935    All      -0.9663690575259176        0.43246050545855397       -0.0030590857513779213     0.45550829584251884       
Check         All|All|All                                      All                   All      0.9796775324856262         1.0180948948729451        -0.06564414505072502       0.009584402122270186      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6379.213594434858     All      -0.0003393344494685366     5.96737574996819e-05      -0.00027484395822334825    0.00011770507644678171    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7653.066135591825     All      -0.00016284742092962458    7.61907612741838e-05      -0.0002000801791895784     6.893394060418116e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5247.943760147933     All      -6.974037366631362e-05     0.0002954434695241907     -0.0009941743015513685     7.45869589179045e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4274.3497281569935    All      -0.0004858025739192322     0.00012781871870279598    -0.0005306139567361351     0.0001761977786805139     
MWEBV         All|All|All                                      All                   All      -0.7951689375216029        -3.979939437548463        0.04357730737196697        -1.0354398726113683       
Redshift      All|All|All                                      All                   All      6.875001736057683          -0.5168858769999396       3.5547956610707754         -2.249146777684341        
