#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6379.213594434858     All      1.2637205469392296         -0.15569482211432728      -0.14818563403805998       -0.46896312733445317      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7653.066135591825     All      0.6100874720650948         -0.3656557585447473       0.7952946001108522         -0.2823413258614513       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5247.943760147933     All      -0.041945624635610246      1.1728780865253974        -1.2492432703856058        0.3399600596476155        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4274.3497281569935    All      -0.8387137777551068        0.34414113277323466       0.6064449458755531         0.4123576117632874        
Check         All|All|All                                      All                   All      0.9931486166136075         0.9956686386395575        0.004310641562739526       0.0010132182149984459     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6379.213594434858     All      -0.00037221985717864623    6.790507352963676e-05     -0.0006347690789445954     0.00011503634100745063    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7653.066135591825     All      -0.00017576973924998275    0.00010899348260121235    -0.00037096758626291445    7.620217020624619e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5247.943760147933     All      -0.00014782342675950992    0.00041455333342457225    -0.0015824311412491823     0.00011256797844721308    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4274.3497281569935    All      -0.0004473655636436372     7.86053207227288e-05      1.0669450786048926e-05     0.00017180214955180936    
MWEBV         All|All|All                                      All                   All      -0.7691186976154518        -4.005242574600132        0.12030365761050348        -1.0487434123426844       
Redshift      All|All|All                                      All                   All      6.764560481918084          -1.1266706521429803       5.176761047054117          -2.339418524630179        
