#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5278.829728373269    All      3.5010792982526713        0.05864612391555113        0.24732989744058465       -1.110276540191453         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4408.204901664818    All      -2.4942093944557824       0.9472966206672595         -0.18569664405401198      1.1127249429601442         
Check         All|All|All                            All                  All      1.006869903796889         1.0059427445828106         0.06163325338657266       0.0024484027686912935      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5278.829728373269    All      0.00045780019156966943    5.544271983782358e-05      0.0004671410954367255     -0.00011021470412280601    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4408.204901664818    All      5.829969498284053e-05     -0.00016597399816160554    -0.0013763979142002612    -0.00013447563758628076    
MWEBV         All|All|All                            All                  All      -0.09322661376257146      -2.3744955580276894        0.035652698955246365      -0.7414933304587131        
Redshift      All|All|All                            All                  All      1.027074531756031         -0.178134880237657         -6.31082396462499         -0.6741994446733914        
