#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5278.829728373269    All      3.543561351467545         0.0344181426711998        0.2680983022971891        -1.1310793945868503        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4408.204901664818    All      -2.5472350669671          0.9674112299226323        -0.2709996536855303       1.1327424574380505         
Check         All|All|All                            All                  All      0.9963262845004448        1.001829372593832         -0.002901351388341189     0.0016630628512002144      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5278.829728373269    All      0.0008488018264697349     3.909390973579318e-05     0.0003080092115801832     -0.00025000347060177743    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4408.204901664818    All      -0.0002514884658762955    -3.327338637022911e-05    -0.0013993984828149766    8.631103374727883e-06      
MWEBV         All|All|All                            All                  All      -0.10070384881317329      -2.3772213124223285       -0.003825207249128771     -0.741707334528432         
Redshift      All|All|All                            All                  All      0.991307279762697         -0.422082383819955        -4.144940755217939        -0.6453571814487002        
