#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4669.558431869653    All      1.654397033532761         0.6292194088313607         5.188160628601563          -0.10241029921269906      
Zeropoint     AB|SDSS|SDSS_i            5662.655754335206    All      0.5058797480119755        0.07537002533108961        -3.7799513357044208        -0.30891304745029047      
Zeropoint     AB|SDSS|SDSS_g            3573.547605332856    All      -1.3488030770666064       0.2583958948637388         -1.9885078158455751        0.43477960949820893       
Zeropoint     AB|SDSS|SDSS_z            6732.425660550453    All      0.1965886898174477        0.03779713467686463        0.6641497193384086         -0.022085681951537817     
Check         All|All|All               All                  All      1.008062394295578         1.0007824637030538         0.0838511963899754         0.0013705808836815825     
Lambda        AB|SDSS|SDSS_r            4669.558431869653    All      -0.0003101127148326992    -0.00011322682040641188    -0.0011735700408950507     1.1761172255265598e-05    
Lambda        AB|SDSS|SDSS_i            5662.655754335206    All      -4.281655964476447e-05    -4.885025174179541e-06     0.0005019930532200866      3.4757193081998956e-05    
Lambda        AB|SDSS|SDSS_g            3573.547605332856    All      -0.002275974102727231     0.00032827770019282985     -0.006213558314301884      0.0005710079198243331     
Lambda        AB|SDSS|SDSS_z            6732.425660550453    All      -8.296948430634383e-05    -1.6052754644325167e-05    -0.00028012592882214766    9.296246714457471e-06     
MWEBV         All|All|All               All                  All      -0.6613617554547919       -2.782175427813627         -0.09600034833383085       -0.6951028404171237       
Redshift      All|All|All               All                  All      8.440321899149433         0.41697204207977734        7.066579745210948          -2.2981200104155555       
