#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_r            4669.558431869653    All      1.4760828102645955         0.5910074338039806         3.543691134425353          -0.1301595084834989      
Zeropoint     AB|SDSS|SDSS_i            5662.655754335206    All      0.6285628169099199         0.09517224935784441        -3.4555299720571586        -0.3279472878579499      
Zeropoint     AB|SDSS|SDSS_g            3573.547605332856    All      -1.2973820549949473        0.2753241282594132         -0.7176956295874615        0.4802546846908399       
Zeropoint     AB|SDSS|SDSS_z            6732.425660550453    All      0.19623698135749762        0.03886424162971025        0.6846535034628953         -0.020708537378948122    
Check         All|All|All               All                  All      1.0035005535370656         1.0003680530509484         0.05511903624362824        0.0014393509704429541    
Lambda        AB|SDSS|SDSS_r            4669.558431869653    All      -0.00029420046371462653    -0.00010251687509944173    -0.0013479602598893488     2.284375573401959e-06    
Lambda        AB|SDSS|SDSS_i            5662.655754335206    All      9.67658097215021e-06       9.149731474788037e-06      0.0007453890087865651      3.30916758001294e-05     
Lambda        AB|SDSS|SDSS_g            3573.547605332856    All      -0.0020097546353284395     0.0004513555371179658      -0.0024545795730902785     0.0006921279384146701    
Lambda        AB|SDSS|SDSS_z            6732.425660550453    All      -8.463087050154562e-05     -1.730458105949911e-05     -0.00036386630991247927    5.692705206526665e-06    
MWEBV         All|All|All               All                  All      -0.6710032801933838        -2.789929256315915         -0.36082395797664146       -0.7063058170571113      
Redshift      All|All|All               All                  All      7.746689437217373          0.06729974458679067        0.004342024098547004       -2.501236102713056       
