#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|WFC3|WFC3_f125w        6075.432297543335     All      0.3365800484404561         1.243032340028627         0.5221078552164138         0.3185606083885406       
Zeropoint     AB|WFC3|WFC3_f160w        7457.147594002379     All      1.2045008710484018         -0.7529944422424606       -0.19451321871774008       -0.6463008548062518      
Zeropoint     AB|ACSWF|F850LP           4386.6167753326035    All      -0.5480713933910815        0.5109882736547888        -0.34517672677167877       0.329566923608518        
Check         All|All|All               All                   All      0.9930095260977764         1.0010261714409552        -0.017582090273005058      0.001826677190806869     
Lambda        AB|WFC3|WFC3_f125w        6075.432297543335     All      -0.00023116412490047428    0.00017190613396706535    -7.855730777594357e-05     0.0001277875920854187    
Lambda        AB|WFC3|WFC3_f160w        7457.147594002379     All      -0.00017879096361137972    5.880230452593445e-05     -0.00018713826349916674    6.904082281365745e-05    
Lambda        AB|ACSWF|F850LP           4386.6167753326035    All      -0.00036715430399150955    0.00041895284999212643    0.0001986196334199122      0.0002649244442222033    
MWEBV         All|All|All               All                   All      -0.07995719635789333       -1.4276732321031105       -0.01061807215774202       -0.43946928717616546     
Redshift      All|All|All               All                   All      3.558506472684005          -1.7100869127332885       -5.602196357218103         -1.9661544906697637      
