#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5335.553420947367    All      0.4543218253731546         0.4833468935059315        -0.3585493700313691        -0.006545992039583282      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4351.361782964665    All      -1.1320208737973785        0.740141888208079         0.0023195609998083455      0.6099285152646357         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6329.712534626411    All      1.2773695853537101         -0.13369695233365064      0.02236322524202805        -0.4586328260029977        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7846.482869746137    All      0.39827120420833584        -0.09220662780746736      0.33264199803584305        -0.1449204815260237        
Check         All|All|All                       All                  All      0.997941741137822          0.9975852015728925        -0.0012245857536896665     -0.00017078430396902378    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5335.553420947367    All      1.6574640861795347e-06     9.956335167943165e-05     -0.0013272856315495426     -2.733949313649356e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4351.361782964665    All      -0.0005288348715582416     0.00019961715528792924    -0.00088889074592111       0.00019761367904070972     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6329.712534626411    All      -0.00031645937367147376    2.60397975224551e-05      -0.00036057170902649633    9.547258861801266e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7846.482869746137    All      -8.834642624331175e-06     5.285147653253932e-06     3.4410652334610555e-05     6.134869591995685e-06      
MWEBV         All|All|All                       All                  All      -0.8274974210419193        -4.042672179961393        0.0683737597559686         -1.0442369882191878        
Redshift      All|All|All                       All                  All      3.835803233041561          -0.6538968944010293       3.3769862155170305         -1.3117436533930806        
