#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5335.553420947367    All      0.48663897685000657       0.48155203728512674       -0.2532446500969173       -0.012958129194839577      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4351.361782964665    All      -1.1315442567152578       0.7626060448220784        0.007031794122614616      0.6173008655804999         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6329.712534626411    All      1.253623384689311         -0.15182521703618335      0.01423326210380342       -0.4571656823509034        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7846.482869746137    All      0.3897071783154659        -0.09437016028908118      0.23280079407566115       -0.14729108463067803       
Check         All|All|All                       All                  All      0.9984252831395256        0.9979627047819406        0.0008212002051618816     -0.00011403059592113296    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5335.553420947367    All      2.7749803126177035e-05    9.083262570830757e-05     -0.0013096298982716984    -3.78946167690854e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4351.361782964665    All      -0.0004958359763974025    0.00018740636110255225    -0.0007286513557684159    0.0001900381438956618      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6329.712534626411    All      -0.000395130913853298     2.5371930291983803e-05    -0.0007417127210295342    0.00010387237829453929     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7846.482869746137    All      3.3509638111326546e-06    1.016112699287389e-06     9.266530507428382e-05     3.3746891476650227e-06     
MWEBV         All|All|All                       All                  All      -0.8311222927003481       -4.040401761912005        0.045040815134223         -1.0433579405662112        
Redshift      All|All|All                       All                  All      3.838278032940784         -0.4879273763213732       1.8901649285804982        -1.3248380501780552        
