#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3840.060518860417     All      -1.0533101222997512        0.5211923305180832         -0.3650370991534757       0.4965773192944001         
Zeropoint     AB|SDSS|SDSS_i            6084.9730283906365    All      1.279441180331998          0.1204777300049642         0.2085104152587558        -0.36820766235719365       
Zeropoint     AB|SDSS|SDSS_r            5017.811137586399     All      0.702535286155252          0.35250037069936013        0.10632036480966445       -0.1092732982009667        
Zeropoint     AB|SDSS|SDSS_z            7234.525695603403     All      0.06975147848379228        0.005096447222818767       0.05578047680043774       -0.01857104427990669       
Check         All|All|All               All                   All      0.9984178226712912         0.9992668784452263         0.0055741577153822774     0.0005253144563330259      
Lambda        AB|SDSS|SDSS_g            3840.060518860417     All      -0.0012978540113817282     0.0006128895421640297      -0.0008516847668325528    0.0005843852574885011      
Lambda        AB|SDSS|SDSS_i            6084.9730283906365    All      -1.8556969794789612e-05    -6.78700735451162e-06      -0.0001645859591212165    -3.5108514525500554e-06    
Lambda        AB|SDSS|SDSS_r            5017.811137586399     All      -2.6602853851286022e-05    -8.34121751901699e-06      -0.0009295296668670216    -3.553222411352213e-05     
Lambda        AB|SDSS|SDSS_z            7234.525695603403     All      -2.316930522235645e-05     -4.5058382513483135e-07    1.7432236182145607e-05    8.178155620252628e-06      
MWEBV         All|All|All               All                   All      -0.5581747290355641        -3.1048047297199233        0.06725718278430826       -0.8265197936947587        
Redshift      All|All|All               All                   All      5.219921592418235          0.4845349162534873         2.7882952192056276        -1.4180424205646829        
