#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SprimeCam|SprimeCam_iprime    3947.28032771219     All      -0.21719327853174522      0.13615594389833063       -0.8602822398428227       0.07670702135883034       
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W                 4137.409919921851    All      -4.329993046960622        0.34116306100617777       0.7756544709546734        1.556163117422668         
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F850LP                4683.45202485892     All      5.530490979861662         0.523389835146304         0.08871667930085363       -1.6270185536322936       
Check         All|All|All                                   All                  All      0.9833046543692945        1.0007088400508124        0.004088910412704358      0.005851585149204697      
Lambda        Linear_AB11_off|SprimeCam|SprimeCam_iprime    3947.28032771219     All      -0.0001859408377607084    0.00011820575342960708    -0.0007469171640346295    6.573906831191246e-05     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W                 4137.409919921851    All      -0.002747040119255521     7.963408932707357e-05     -0.0014234602165837148    0.0008572182928047641     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F850LP                4683.45202485892     All      -0.0004166605707510102    -3.941612373824797e-05    -7.429375781408104e-06    0.00012254938844648514    
MWEBV         All|All|All                                   All                  All      0.11753045427798003       -1.565912091713706        -0.004619831846838343     -0.5485587827214016       
Redshift      All|All|All                                   All                  All      -0.9592794997980099       0.17888816693378828       0.8991830562481173        0.410865063660518         
