#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|SprimeCam|SprimeCam_iprime    3947.28032771219     All      -0.16919288953730718     0.13927785128888814       -0.8568127112510537        0.062243452568339075     
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W                 4137.409919921851    All      -4.216501321614759       0.3265992154034336        0.8009348460771143         1.5155793520947092       
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F850LP                4683.45202485892     All      5.375294264692005        0.5351200525083755        0.057184836351290014       -1.5740520813040726      
Check         All|All|All                                   All                  All      0.989600053539939        1.0009971192006972        0.0013069711773505688      0.0037707233589756584    
Lambda        Linear_AB11_off|SprimeCam|SprimeCam_iprime    3947.28032771219     All      6.288184297559301e-05    0.00011015816452847102    -0.0005477083734401573     -9.0422558985093e-06     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W                 4137.409919921851    All      -0.002513818206334583    5.418761389760261e-07     -0.0013324147228910216     0.0007595502493281724    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F850LP                4683.45202485892     All      -0.000901638190731186    -9.024594697285265e-05    -1.3008078074264293e-05    0.0002637166570235046    
MWEBV         All|All|All                                   All                  All      0.11589344683434577      -1.5652776552506964       -0.004930261487322285      -0.5478327517618259      
Redshift      All|All|All                                   All                  All      -0.8045079166133153      0.5400660853126737        1.0226376246726288         0.48360760798245583      
