#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5636.969413125095    All      3.462646604658706         -0.30779454600651235      0.6089853811644792        -1.2009805060083665      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4707.277460364339    All      -2.4653550945034146       1.3108006038413222        -0.6058945057782659       1.2029798537632295       
Check         All|All|All                            All                  All      0.9972915101552917        1.00300605783481          0.003090875386213332      0.00199934775486299      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5636.969413125095    All      -0.0006761296313057947    1.1352542579403298e-05    -0.0011107121817218793    0.0001743695781724106    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4707.277460364339    All      -0.0006745841222754311    -8.292916027794633e-05    -0.00240948378128818      8.519729119250945e-05    
MWEBV         All|All|All                            All                  All      -0.27377635488282914      -2.6128106697202114       -0.010078990912434097     -0.7623502073590833      
Redshift      All|All|All                            All                  All      5.349429482888597         1.7099102732691662        9.648540420356694         -0.7549410983812914      
