#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5636.969413125095    All      4.0281203201710785         -0.4160008516592484       2.1663266319704166        -1.3509232649024039        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4707.277460364339    All      -3.032140342109191         1.4214581236300816        -2.159865786359283        1.3542986491882902         
Check         All|All|All                            All                  All      0.9959799780618875         1.0054572719708332        0.006460845611133692      0.0033753842858863514      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5636.969413125095    All      -0.00010986974509718709    7.134326104821826e-06     -0.0012398316369103591    -1.7215916304465894e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4707.277460364339    All      -0.0014707693053741036     0.00038773142039133626    -0.0022877212469737864    0.0005032843371107593      
MWEBV         All|All|All                            All                  All      -0.2807660190657413        -2.6096428693112017       -0.0025760620534942547    -0.7587067657155666        
Redshift      All|All|All                            All                  All      7.351519654618715          0.1013763306248805        12.647405795797473        -1.797214570022665         
