#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4340.104020888714    All      -1.1772407358886459        0.6313837868776595        0.023674309923734906      0.5901849847641228         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6292.921537695059    All      1.296179111040395          -0.390727170369054        0.18067327358763835       -0.5414182550253885        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8238.002902261107    All      0.32569724995930655        -0.10450405938122742      0.36632633226786043       -0.12378325792177106       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5357.00149873507     All      0.5455155947647629         0.8605001693282155        -0.6528254183793134       0.07346823851644517        
Check         All|All|All                                   All                  All      0.9901512198758188         0.9966527264555936        -0.08215150260007975      -0.0015482896665915818     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4340.104020888714    All      -0.0006695705431560464     9.985161417705338e-05     -0.0024476160978097617    0.00014140024492936885     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6292.921537695059    All      -0.00038846528252887557    0.00021311675879170082    -0.0009703996350684057    0.00015265058349062046     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8238.002902261107    All      -3.691726352023995e-05     2.2979710778610853e-05    -8.714054004543312e-05    1.5621733000855527e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5357.00149873507     All      9.556881786517918e-05      0.0002396295178359724     -0.0012756460963042808    -1.0000917010714422e-05    
MWEBV         All|All|All                                   All                  All      -0.8497494412789472        -4.0573469877793755       0.1026686813707042        -1.0402384160106324        
Redshift      All|All|All                                   All                  All      5.242106386263341          -1.9821260363331206       6.055071371212186         -2.0829601448665773        
