#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4340.104020888714    All      -1.2303970689955777        0.679492467282028         0.062278604280985306      0.624893063538795         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6292.921537695059    All      1.2840152019533986         -0.35404064987583084      -0.34670046381133357      -0.5490403307398639       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8238.002902261107    All      0.37664457462137474        -0.10912673385323757      0.7371987819705828        -0.1253339007637272       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5357.00149873507     All      0.5584242796934997         0.7837377414831259        -0.5635000755287445       0.04824558678898638       
Check         All|All|All                                   All                  All      0.9886869872726953         1.0000628250360855        -0.11072315308851         -0.0012355811758096857    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4340.104020888714    All      -0.0008099229734215923     0.00016101604431213837    -0.0020123647118814817    0.0002264641863863087     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6292.921537695059    All      -0.00037734431163391534    0.00015579432188302117    -0.0009947670637350805    0.0001292689074218992     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8238.002902261107    All      -2.375571072183714e-05     1.8903383571148888e-05    -3.949164655703491e-05    1.2133139646473044e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5357.00149873507     All      0.0001656199199546424      0.00029111328774283023    -0.0013118848826893775    -1.766607854731495e-05    
MWEBV         All|All|All                                   All                  All      -0.8553508964877388        -4.054366834094836        0.14994103200844933       -1.0353335557726189       
Redshift      All|All|All                                   All                  All      4.5671632137393114         -2.1486321924233387       4.313486739595184         -1.9950644048332604       
