#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.910076735778    All      0.2061961564794903         0.5038199585667869         -0.3305262733067027        0.08219599434667046        
Zeropoint     AB|CNIa02|SDSS_i                      7397.093041333958    All      0.5716556230755709         -0.1488565935974684        0.4241955740037828         -0.21576463291026748       
Zeropoint     AB|CNIa02|SDSS_r                      6099.816001712864    All      1.126722142129589          -0.09470883062929758       -0.30957349989671756       -0.41167509519372536       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.286628197157    All      -0.9113651005417913        0.7390906133739605         0.20728219435936918        0.5468577767240995         
Check         All|All|All                           All                  All      0.9932088211428589         0.9993451477139814         -0.00862200484026826       0.0016140429667771405      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.910076735778    All      -0.00012100827008538532    0.0001977039027541906      -0.0011481331010652998     5.2579132896947833e-05     
Lambda        AB|CNIa02|SDSS_i                      7397.093041333958    All      -6.922496207140236e-05     -2.3366131967614943e-05    -0.0007158961450702333     -1.7009427286916792e-05    
Lambda        AB|CNIa02|SDSS_r                      6099.816001712864    All      9.306909952147937e-05      -7.021793015719723e-05     -0.0009841914152331488     -9.710790018424039e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.286628197157    All      -0.0005484088205685965     0.0003842816876066031      -0.00013710729840588103    0.00029768951410214786     
MWEBV         All|All|All                           All                  All      -0.865512258151031         -4.054614334458861         0.05269668286455864        -1.0364438536662495        
Redshift      All|All|All                           All                  All      5.994717792732608          -1.4128727768692784        8.138823998150679          -2.049697616239493         
