#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.910076735778    All      0.3264568940017657         0.45826936211739167        -0.21259564559881644      0.03344849012006127        
Zeropoint     AB|CNIa02|SDSS_i                      7397.093041333958    All      0.52554873254534           -0.1284882985499891        0.30359501514792975       -0.19949332704236572       
Zeropoint     AB|CNIa02|SDSS_r                      6099.816001712864    All      1.19190998361742           -0.11083830501537051       -0.13082698008091814      -0.43018618400777736       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.286628197157    All      -1.047087440556532         0.77951792312696           0.040117348532680085      0.5967757134959183         
Check         All|All|All                           All                  All      0.996828169607994          0.998460681678992          0.000289738000875249      0.0005446925658364465      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.910076735778    All      -1.0382844935583024e-05    0.00010686990525163716     -0.0009726974771443304    -5.2139427301475844e-06    
Lambda        AB|CNIa02|SDSS_i                      7397.093041333958    All      -5.951073879173401e-05     -1.4093656072051021e-05    -0.0005399418371098767    -9.301286307612419e-06     
Lambda        AB|CNIa02|SDSS_r                      6099.816001712864    All      -4.904485858089555e-05     -5.321506934989993e-05     -0.0010298958503335346    -4.731789650315917e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.286628197157    All      -0.000488850700785883      0.00029380429284141723     -0.0002413476187513999    0.00024416624425353697     
MWEBV         All|All|All                           All                  All      -0.8785330171528689        -4.047785799203751         0.035415479553178635      -1.0307494662384682        
Redshift      All|All|All                           All                  All      5.980603017578802          -0.7371794476393134        7.65692950064159          -1.8465091607916018        
