#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6072.756182080635    All      1.0442188032695172        0.020941846218214266       -0.3475693333923058        -0.3488253927446413        
Zeropoint     AB|PS|PS_i                7355.422954000291    All      0.5621536655897982        -0.12715719570230988       0.328197155767862          -0.20988529346967782       
Zeropoint     AB|PS|PS_g                4781.953393205345    All      -1.052430350935898        1.1642107084863795         0.03639817675344936        0.7236572018363193         
Zeropoint     AB|PS|PS_z                8453.175747549712    All      0.44450465916853527       -0.057240737608488246      -0.015105741038445863      -0.16410908250791226       
Check         All|All|All               All                  All      0.9984467770919526        1.0007546213937957         0.0019202580905597344      0.0008374331140878766      
Lambda        AB|PS|PS_r                6072.756182080635    All      -4.871333722776485e-05    -2.147913257164729e-05     -0.0003929861058946786     -8.666088550962025e-06     
Lambda        AB|PS|PS_i                7355.422954000291    All      9.238220039470636e-05     2.723742606657986e-05      -0.00019137598733276256    -2.9760027554630286e-05    
Lambda        AB|PS|PS_g                4781.953393205345    All      -0.0006867139268490134    0.000502358366148696       -0.0012596179227457524     0.00033110900246955744     
Lambda        AB|PS|PS_z                8453.175747549712    All      0.0005995933196013898     -0.00015511206541904993    0.00018207540547847647     -0.0002377071838664132     
MWEBV         All|All|All               All                  All      -0.6501986864171814       -4.046481881091246         0.03427572061107664        -1.1047516029154225        
Redshift      All|All|All               All                  All      5.983785042576532         0.30147535247353474        8.537902360593263          -1.4699078393165212        
