#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                6072.756182080635    All      1.1333138699326661        0.006159984774534166       -0.30906094844272375      -0.3809430733207769       
Zeropoint     AB|PS|PS_i                7355.422954000291    All      0.5515543159846072        -0.18158185538359461       0.2869395778385777        -0.22600177498511945      
Zeropoint     AB|PS|PS_g                4781.953393205345    All      -1.1119872894746516       1.2593576409127394         -0.03849123705211639      0.7707073716323294        
Zeropoint     AB|PS|PS_z                8453.175747549712    All      0.4268386486293351        -0.084669240937707         0.06216611732965789       -0.16384075944393453      
Check         All|All|All               All                  All      0.9997195450719566        0.9992665293659719         0.001553509673395459      -7.823611750149007e-05    
Lambda        AB|PS|PS_r                6072.756182080635    All      -0.00013041112175752      4.459023257492728e-05      -0.0009269411428289925    1.5638572561848636e-05    
Lambda        AB|PS|PS_i                7355.422954000291    All      -3.487495663113761e-05    6.355331613671673e-05      -0.0006586642884590253    2.6681645762110344e-06    
Lambda        AB|PS|PS_g                4781.953393205345    All      -0.0006623089391999571    0.0004328060108207525      -0.0011370420232882988    0.0003059740041792224     
Lambda        AB|PS|PS_z                8453.175747549712    All      0.00060254256972431       -0.00015483875409477143    0.0002827303361374522     -0.0002340870579049676    
MWEBV         All|All|All               All                  All      -0.667109466646469        -4.056962612186332         0.04650981606443774       -1.1021111728791646       
Redshift      All|All|All               All                  All      6.121567343562199         -0.4380560245976106        8.757733618660977         -1.7458677076232103       
