#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_g          3832.772248552544    All      -0.6441465313493118        0.6957201520865652        0.06161466849501029        0.4391882387686298         
Zeropoint     AB|DECam|DECam_i          6188.621190139461    All      1.046905038872384          0.22819312221820098       0.10618320043434787        -0.2619429375226962        
Zeropoint     AB|DECam|DECam_r          5094.039051717958    All      0.008712014414001004       0.005712082538167351      -0.40647591123297994       -0.019116329548779124      
Zeropoint     AB|DECam|DECam_z          7252.153846993953    All      0.5858869057120274         0.06994795728605396       0.242262491583214          -0.15724722706158736       
Check         All|All|All               All                  All      0.9973574276491006         0.9995733141289875        0.003584449279592228       0.0008817446355670888      
Lambda        AB|DECam|DECam_g          3832.772248552544    All      -0.0009362753608729536     0.0008255972254383113     -0.0009404912243781849     0.0005319300614239263      
Lambda        AB|DECam|DECam_i          6188.621190139461    All      -0.0002187209571129341     -8.103137077529139e-05    -0.0005235280114618629     2.148737744865391e-05      
Lambda        AB|DECam|DECam_r          5094.039051717958    All      -1.3203292496107611e-05    -1.199741384817345e-05    -0.00035506583660524656    -1.5452163181428216e-05    
Lambda        AB|DECam|DECam_z          7252.153846993953    All      -0.00013867703064098514    -5.969747716355577e-05    -0.0005714576989672602     2.247064230992509e-07      
MWEBV         All|All|All               All                  All      -0.46125572778063395       -2.9952527639473203       0.08227215382163679        -0.8217347723430366        
Redshift      All|All|All               All                  All      4.535378548343854          0.6894136865241762        0.3572760014138111         -1.236813696946575         
