#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4027.084405329831    All      -2.800408498372585         0.41896581099543084        -0.8395266096862003       1.0111919100459303        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4822.437557177757    All      3.792765974011328          0.5827670013376363         0.8421060949603293        -1.0080229438645365       
Check         All|All|All                            All                  All      0.9923574756387437         1.001732812333067          0.0025794852741289898     0.0031689661813938397     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4027.084405329831    All      -0.00034020032488780863    4.119511163927455e-06      -0.001448365372165251     4.7522403929998936e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4822.437557177757    All      -0.0014143612291372405     -0.00023162921354841798    -0.0003590822256536658    0.00036923053767891546    
MWEBV         All|All|All                            All                  All      -0.09275173549212057       -2.037523371689076         0.031554873382171056      -0.6320679539229962       
Redshift      All|All|All                            All                  All      3.146398913536893          0.7578311262509629         0.6922008206794658        -0.7471453664015776       
