#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7270.562143930441     All      0.115165133292093          -0.0014559365608235453     0.04448197132031484       -0.036002293088610235     
Zeropoint     AB|SDSS|SDSS_i            6115.283352154126     All      1.2962023791427715         -0.05018460969203886       -0.39055329279329976      -0.4559911367907142       
Zeropoint     AB|SDSS|SDSS_g            3859.1885375147303    All      -1.1127973181827795        0.4640060886456965         -0.7265933826246573       0.4811922193514326        
Zeropoint     AB|SDSS|SDSS_r            5042.80573977357      All      0.6976389882425686         0.5858204400453815         1.0684230067923683        0.01125583183497307       
Check         All|All|All               All                   All      0.9962091824946537         0.9981859824382155         -0.004241697305273906     0.00045462130708122384    
Lambda        AB|SDSS|SDSS_z            7270.562143930441     All      -2.319494184467601e-05     -2.7866973424691968e-06    -6.202444478995853e-05    3.879770542665308e-06     
Lambda        AB|SDSS|SDSS_i            6115.283352154126     All      -0.00020331785954013078    -6.728278442814585e-05     -0.000779870712457112     9.509051304677717e-06     
Lambda        AB|SDSS|SDSS_g            3859.1885375147303    All      -0.001510764524471778      0.000577557399896929       -0.0010428261944099293    0.0006336986109884517     
Lambda        AB|SDSS|SDSS_r            5042.80573977357      All      -0.00018098702191262581    -0.0001325042294177352     -0.0023268623861498546    -8.804474084939396e-05    
MWEBV         All|All|All               All                   All      -0.5504670422159772        -3.1384963036030555        0.036971747564917834      -0.8413563947787247       
Redshift      All|All|All               All                   All      7.21274462042032           1.5602696997769172         11.64763476516441         -1.3214165986370943       
