#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7824.5162794796615    All      0.1691243277802104         -0.023390430264047524      0.059892401709084525       -0.06003566743000435       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4304.088051538092     All      -0.3715075339054078        0.278574578388735          0.015532113415089779       0.2124462579257362         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6311.9922127878435    All      0.580532299963929          -0.035320790707160654      -0.09767441288477913       -0.20496237304114148       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4339.17994519425      All      -0.44099489387302737       0.3189005997150218         -0.12279174459660439       0.24204333048153565        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7758.7873082072265    All      0.15557431231629945        -0.02065488979940966       0.05451526428163515        -0.0549708830322883        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5320.616293346573     All      0.3437087831153094         0.19863438330913752        -0.08134820114154899       -0.05088570142103066       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3576.719306961394     All      -0.21016746473726744       0.10419332571949269        -0.013544093287636998      0.10179324093692307        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6435.576403978358     All      0.48280120323894604        -0.01943033050153531       0.07256188608433314        -0.1603552297546996        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5301.3493141234885    All      0.28635903325323053        0.1955961526871164         0.11348811827206566        -0.02450000272405248       
Check         All|All|All                                     All                   All      0.9954300671522223         0.9971025985473503         0.0006313318516387306      0.0005729719409780475      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7824.5162794796615    All      -6.8419574463971415e-06    2.6104154069618116e-06     2.2185604559072883e-05     4.06899044884428e-06       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4304.088051538092     All      -0.00014061850934786593    5.830950182739791e-05      -0.00030313425849526414    5.126990806560674e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6311.9922127878435    All      -0.00017953967256682855    -7.0612735380984904e-06    -0.0002539198909765775     4.485061041203223e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4339.17994519425      All      -0.00022269625337454447    3.7567359395282606e-05     -0.0008590219415665207     4.6442217190623376e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7758.7873082072265    All      -1.803787588863199e-05     2.621200471478513e-06      -1.4693888680126086e-06    6.663768757391784e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5320.616293346573     All      3.312867232257427e-05      -2.177433209384344e-06     -0.0008171105960649116     -4.7964253157280624e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3576.719306961394     All      -0.00032080517170072055    0.00014669003512528993     -9.277823897584235e-05     0.00014813830230824758     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6435.576403978358     All      -0.00012098966310951507    5.503011213658124e-06      -4.4468626100393666e-05    3.921839496658608e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5301.3493141234885    All      7.326308524625483e-05      3.7270732549640414e-05     1.1349555524409435e-05     -1.1217414850088058e-05    
MWEBV         All|All|All                                     All                   All      -0.9637125526212746        -3.949544736530086         0.0312863986849328         -0.9711876049801225        
Redshift      All|All|All                                     All                   All      4.080568479034771          -0.1388226679534199        -0.3341881862861297        -1.3893077943027334        
