#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA2_FLWO
@BAND  CfA2_4Sh3_Harris_R
@MAGSYS  Linear_AB11_off
51699.35000000009  17.254  0.016
51700.33999999985  17.036  0.015
51701.39999999991  16.834  0.011
51702.47999999998  16.69  0.014
51703.299999999814  16.633  0.01
51709.39000000013  16.438  0.012
51710.330000000075  16.437  0.042
51711.20999999996  16.483  0.015
51712.279999999795  16.548  0.018
51715.35999999987  16.816  0.024
51716.24000000022  16.879  0.014
51728.470000000205  17.376  0.015
51758.220000000205  18.996  0.056
51791.14000000013  20.259  0.252
51794.14999999991  20.28  0.177
51803.12000000011  20.825  0.194
51810.14999999991  21.029  0.288
