#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7824.5162794796615    All      0.16228844674200837        -0.01828120137759015      0.09122610577678714        -0.05474647284305495       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4304.088051538092     All      -0.357677448339967         0.2958405725321356        0.08616542030162044        0.21671748646691358        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6311.9922127878435    All      0.5859225644575973         -0.024835530475630918     -0.08623339393691865       -0.20279220517999547       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4339.17994519425      All      -0.4027269854156992        0.31202184189016435       -0.11943784784103073       0.22748724500053497        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7758.7873082072265    All      0.133003126911567          -0.014336676959558758     0.0611723538062936         -0.04526358026047672       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5320.616293346573     All      0.34252718512993674        0.19251336705741195       -0.17410201500664968       -0.05663380916235694       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3576.719306961394     All      -0.20561002595335573       0.09230031825397944       -0.12925368239153912       0.09127120186309262        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6435.576403978358     All      0.4410140855383899         -0.012162353081013322     0.08830753817146153        -0.1436737152735873        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5301.3493141234885    All      0.2888337583996847         0.17641457210917366       0.18661250808316154        -0.02829096830068989       
Check         All|All|All                                     All                   All      0.987574707470162          0.9994749099490718        0.0044569869631860826      0.004075182310379899       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7824.5162794796615    All      -1.4892035223331692e-05    1.5480900095964928e-06    -5.803647774431711e-06     5.096099507436821e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4304.088051538092     All      -0.00020289161290390332    0.00010618229871121537    -0.000351038919495024      8.501028652908808e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6311.9922127878435    All      -0.00010063194845411644    8.215204748974764e-07     -4.40533557370463e-05      3.108083361336761e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4339.17994519425      All      -0.00025677894366597147    7.748047181382507e-05     -0.0008982855375809674     6.879293056391008e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7758.7873082072265    All      -2.1720937963559854e-05    1.4361917754957826e-06    -1.7486627522113237e-05    6.76269112981307e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5320.616293346573     All      3.848549857171006e-05      2.232246450123077e-05     -0.0009141192585045223     -4.6057776053940995e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3576.719306961394     All      -0.00039964016238156115    0.00016952107760484608    -0.0002761441115301923     0.00017307149729862243     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6435.576403978358     All      -7.59081335247169e-05      3.5229356210932305e-06    -1.3562484467622915e-05    2.5268081033793417e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5301.3493141234885    All      4.666070846557188e-05      5.784623629315234e-05     -3.394864354745646e-05     2.128522365335155e-06      
MWEBV         All|All|All                                     All                   All      -0.9669767643259903        -3.94957044951596         -0.014193902644699108      -0.9721622963688253        
Redshift      All|All|All                                     All                   All      4.38733354949293           -0.8313851047490495       2.4219655409697616         -1.5918271580225156        
