#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5328.638085132432    All      -2.1190127492794995        2.045671514339631         -0.8010875375186632       1.320825821165822        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6381.049375657609    All      3.1142205018773117         -1.039960466390255        0.8038976780146978        -1.317279148657835       
Check         All|All|All                            All                  All      0.9952077525978129         1.0057110479493758        0.0028101404960345633     0.0035466725079869033    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5328.638085132432    All      -0.00010793718855022058    0.00016331828877325625    0.00017890913750597258    9.634072611133392e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6381.049375657609    All      -0.001191024885552232      0.0003739679055957212     -0.0004640482407159947    0.0004890612971237335    
MWEBV         All|All|All                            All                  All      -0.5506741175111358        -3.0650220685613405       -0.004192395785240777     -0.8191929346165416      
Redshift      All|All|All                            All                  All      4.648280938729496          -0.2646113979164255       -4.726647027790909        -1.8112192115482983      
