#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3992.6845647847726    All      -1.4225081613988495        0.2883775291131485         -1.6033661951188338        0.48574088657352377       
Zeropoint     AB|MEGACAMPSF|z           5624.785399664982     All      0.8468372741357051         0.08246225218382364        0.6030115044573181         -0.22207245792873906      
Zeropoint     AB|MEGACAMPSF|i           4882.054073971265     All      1.8070973154262207         0.5446183512088254         0.48810916555918243        -0.38944886271524015      
Zeropoint     AB|MEGACAMPSF|g           3129.223399384734     All      -0.23806473985220244       0.08642085699825941        0.5443981760903157         0.1299896244217704        
Check         All|All|All               All                   All      0.9933616883108738         1.001878989504057          0.03215265098798248        0.004209190351314923      
Lambda        AB|MEGACAMPSF|r           3992.6845647847726    All      -0.0011090847097382575     0.00016111156747884505     -0.0017447328819661866     0.00033588530045203094    
Lambda        AB|MEGACAMPSF|z           5624.785399664982     All      -0.00015223666605930004    -1.394921644721264e-05     -0.00013065903324409802    3.921405930216481e-05     
Lambda        AB|MEGACAMPSF|i           4882.054073971265     All      -3.927705042845373e-06     -0.00011924220361092094    -0.0010254196119626976     -8.332149361790395e-05    
Lambda        AB|MEGACAMPSF|g           3129.223399384734     All      -0.0006762323547897669     0.00024800130659495133     0.0015725776974317646      0.00037123022994556027    
MWEBV         All|All|All               All                   All      -0.26035843425904837       -2.1568305387038578        0.40406912175433435        -0.5997116074151354       
Redshift      All|All|All               All                   All      2.006233698764707          0.09354919207051893        -2.315736110005215         -0.7263649360797727       
