#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5409.839128830277 All -0.9095528059795646 0.7146385018670935 -5.434442590138426 0.2865383299666755
Zeropoint AB|CNIa02|SDSS_r 6099.736006082045 All 1.135897145285814 -0.11632748015332872 5.247655550198761 -0.17371199187684438
Zeropoint AB|CNIa02|SDSS_i 7396.9960326497785 All 0.998685702211009 0.05810444077531862 6.361168344632024 -0.022508533622509153
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4324.229917628089 All -0.04733735426071428 0.5515159302638803 5.43317025639414 0.43752365135198434
Check All|All|All All All 1.1776926872565439 1.2079313927529638 11.607551561086499 0.5278414558193063
