#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.839128830277     All      0.1385275336513222         0.6637432790989273        -2.5568316877254573       0.056980392257074075      
Zeropoint     AB|CNIa02|SDSS_r                      6099.736006082045     All      1.058700158479042          -0.3106112180059739       -1.3692121047191776       -0.5071314119972454       
Zeropoint     AB|CNIa02|SDSS_i                      7396.9960326497785    All      0.7016520974381724         -0.06266907980441161      2.366038074169281         -0.1433791404173917       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.229917628089     All      -0.9025102601061228        0.7103719172459222        1.5942145032034696        0.5965112587266842        
Check         All|All|All                           All                   All      0.996369529462414          1.000834898534464         0.03420878492811541       0.002981098569121099      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.839128830277     All      -3.556796953547765e-05     4.6059722926647135e-05    -0.000371904240739389     9.99244673642622e-06      
Lambda        AB|CNIa02|SDSS_r                      6099.736006082045     All      -0.00021482541606834517    5.418002597269313e-05     0.00011682231196617545    9.283716572651608e-05     
Lambda        AB|CNIa02|SDSS_i                      7396.9960326497785    All      -0.0002135932613519117     1.9903783093112337e-05    -0.0007108657098215778    4.433499745911006e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.229917628089     All      -2.673059452685818e-05     2.28044780311528e-05      0.0001283011138745054     2.1860692234142743e-05    
MWEBV         All|All|All                           All                   All      -0.8565434406254004        -4.028189640120949        0.4116963778375751        -1.014737392746515        
Redshift      All|All|All                           All                   All      4.948722772364196          -1.2775629639294905       -5.155855738613023        -2.2581882646526616       
