#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4684.105208449747    All      -2.384139656244442        1.2715544732735395        -0.5864432727430398       1.164609576922536        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5609.220618545718    All      3.3817402208810985        -0.2689848742567946       0.5891798373747098        -1.162868878637641       
Check         All|All|All                            All                  All      0.9976005646366566        1.002569599016745         0.0027365646316700465     0.0017406982848948704    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4684.105208449747    All      -0.0002425976315632554    -0.0001549015194158747    -0.0025324785435274083    -8.44473773015877e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5609.220618545718    All      -0.0004915119540586606    2.8776474717422693e-05    -0.0004641938695250275    0.000148760217801679     
MWEBV         All|All|All                            All                  All      -0.25771003077996824      -2.5962349048626265       -0.015475754631829349     -0.7624250985235241      
Redshift      All|All|All                            All                  All      5.660300897678044         1.4246774481017965        7.139551715398562         -1.061076503116171       
