#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4684.105208449747    All      -2.465763202279703         1.3874861978942832         -0.23845933345796322      1.2444887529284188        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5609.220618545718    All      3.4611026986442366         -0.3839837827017689        0.24197866479829244       -1.241672770120078        
Check         All|All|All                            All                  All      0.9953394963645332         1.0035024151925143         0.0035193313403292237     0.0028159828083407223     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4684.105208449747    All      -0.000988744105149069      0.00033756294025141873     -0.0019552345878342484    0.0003447686993052755     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5609.220618545718    All      -4.1920744447718536e-05    -4.7190439927151796e-05    -0.0015567834052400155    -7.118860651378353e-05    
MWEBV         All|All|All                            All                  All      -0.263339768124653         -2.5926662878649864        0.004676534992542614      -0.7585295877675424       
Redshift      All|All|All                            All                  All      7.780944064012723          -0.30171013545103875       10.698666230893794        -2.155354047502056        
