#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4475.812013996655     All      0.958881866331721         0.5206987098560489         0.28122524085285594       -0.13018087898333253       
Zeropoint     AB|SDSS|SDSS_i            5427.704359239143     All      0.8108249242899996        0.26793424347850703        -0.11946489883595257      -0.18216852506580394       
Zeropoint     AB|SDSS|SDSS_z            6453.088037012967     All      0.06962302335783338       0.021249722955474226       0.13799319935713372       -0.009598772667893107      
Zeropoint     AB|SDSS|SDSS_g            3425.2761878672322    All      -0.840469385051622        0.18907619549786148        -0.2928627110086346       0.3222877489059611         
Check         All|All|All               All                   All      0.998860428927932         0.9989588717878917         0.0068908303654025005     0.0003395721889315473      
Lambda        AB|SDSS|SDSS_r            4475.812013996655     All      -0.0007252279015646934    -0.00024551367111522453    -0.0021123204672886743    6.199554606870376e-05      
Lambda        AB|SDSS|SDSS_i            5427.704359239143     All      8.610423524870581e-05     2.2414648206853176e-05     7.724209005025343e-05     -1.7298834105852743e-05    
Lambda        AB|SDSS|SDSS_z            6453.088037012967     All      9.875492193934509e-06     4.53553294522144e-06       0.00010732588819228114    3.050061053299495e-06      
Lambda        AB|SDSS|SDSS_g            3425.2761878672322    All      -0.0007774285541289948    -4.4190562038647084e-05    -0.003303194291570714     9.143334662708792e-05      
MWEBV         All|All|All               All                   All      -0.732136041016072        -2.54792089837359          0.38511937061437296       -0.5742747568675405        
Redshift      All|All|All               All                   All      4.0476008625647975        1.3887397509028787         4.510385658765492         -0.6648007415019697        
