#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4475.812013996655     All      0.5581393062448792         0.40999459987105524        -0.1342319531878988       -0.05424576024774141       
Zeropoint     AB|SDSS|SDSS_i            5427.704359239143     All      1.2091283019883434         0.33714019251647187        0.1899554845847084        -0.2755583739686536        
Zeropoint     AB|SDSS|SDSS_z            6453.088037012967     All      0.14105398894812793        0.02921299656826193        0.07307223941123682       -0.03316941224121386       
Zeropoint     AB|SDSS|SDSS_g            3425.2761878672322    All      -0.9124056935542625        0.22192377233807292        -0.12587876984331958      0.36387103401426735        
Check         All|All|All               All                   All      0.995915903627088          0.998271561293862          0.002917000964726857      0.0008974875566584717      
Lambda        AB|SDSS|SDSS_r            4475.812013996655     All      -0.000384269675677526      -0.00015342073916520295    -0.0018962610439777902    -9.42632785427824e-06      
Lambda        AB|SDSS|SDSS_i            5427.704359239143     All      0.00011273284099617032     2.4218936445942953e-05     -0.0006489748830444215    -5.7792659129417955e-05    
Lambda        AB|SDSS|SDSS_z            6453.088037012967     All      -3.0611359408216054e-05    -7.961633526015945e-06     -5.518748943733123e-05    4.914996687063757e-06      
Lambda        AB|SDSS|SDSS_g            3425.2761878672322    All      -0.0013441990485392925     0.00021342840495261651     -0.0015166725330876334    0.0004396883766967112      
MWEBV         All|All|All               All                   All      -0.6684020572350029        -2.5834678630218377        0.10908949205788296       -0.6189317737377541        
Redshift      All|All|All               All                   All      3.9597753118832375         0.5473656769027002         1.7800469290117704        -1.0320987640735912        
