#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4567.873331952601     All      -2.2563582373995645       1.1710266205470887         -0.17795162836364842      1.1084708419742129        
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5550.8717965584365    All      3.254342268142904         -0.16860962191547202       0.17947349603147922       -1.1069589645283595       
Check         All|All|All                         All                   All      0.9979840307433399        1.0024169986316167         0.0015218676678308007     0.001511877445853349      
Lambda        Linear_AB11_off|Knop|Bessell12_R    4567.873331952601     All      -0.0007383770818607362    6.0003447501654833e-05     -0.0017019593964861166    0.0001841081733041671     
Lambda        Linear_AB11_off|Knop|Bessell12_I    5550.8717965584365    All      0.00032322314378677554    -0.00016661126524121077    -0.0015786049865723138    -0.0002300010723740695    
MWEBV         All|All|All                         All                   All      -0.22911225316507977      -2.550199923605412         0.00022067994267516156    -0.7560447678463145       
Redshift      All|All|All                         All                   All      0.4149092940798151        0.6566359599522897         0.018369197382739344      0.07955806055827686       
