#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4567.873331952601     All      -2.2727675708223556       1.1232082917940645        -0.4521707719272424       1.0860027579356313         
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5550.8717965584365    All      3.2701863239057034        -0.1205569918877103       0.4548701048376049        -1.084177886459499         
Check         All|All|All                         All                   All      0.9974187530833479        1.0026512999063542        0.0026993329103625063     0.001824871476132195       
Lambda        Linear_AB11_off|Knop|Bessell12_R    4567.873331952601     All      -0.0004758889840556521    -6.741503843007419e-05    -0.0016413616996981848    5.980696832798913e-05      
Lambda        Linear_AB11_off|Knop|Bessell12_I    5550.8717965584365    All      -7.824512554025181e-07    -0.0001564606079579477    -0.0015066690237452135    -0.00011794521594646235    
MWEBV         All|All|All                         All                   All      -0.22563764916387363      -2.5507618713726643       0.0005074187735731258     -0.757346809718831         
Redshift      All|All|All                         All                   All      0.9988681100437338        1.176077152517685         0.961745671669731         0.10064110732661376        
