#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7722.9231218906625    All      0.33926843822508845        -0.05943911606900443       0.16545111869558365        -0.12248884398462474       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5232.007062552943     All      -0.020352562725890908      -0.013506931198659089      -0.5776958855290346        -0.0235500667069205        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4271.145453127218     All      -0.9394294953886362        0.6891183535774559         0.3491987850528878         0.5460547500059733         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7993.647289538064     All      0.07095542122069429        -0.012170407815403905      0.040578642546014905       -0.02526597882973751       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6189.6358334784945    All      0.20072972594306893        -0.05574100091072509       -0.4194218986141855        -0.10225782637261807       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5264.494025902344     All      0.3774469440189013         0.4868979776786908         0.6117594017712761         0.06295181488679297        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4296.371063790881     All      -0.1281534650210197        0.026511403400863998       -0.4393116711535905        0.03077497376998105        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6245.856265596531     All      1.096783742108975          -0.0636136627011119        0.2735205655893757         -0.3657736440795904        
Check         All|All|All                       All                   All      0.9972487483811809         0.9980566159621063         0.004079058358327559       0.00044517868925608717     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7722.9231218906625    All      -6.14587417444073e-05      1.0245562802463439e-05     -3.43029326667711e-05      2.1825668655219252e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5232.007062552943     All      -2.0677478790962693e-05    -1.5330452169755757e-05    -0.0006414184037299375     -2.6881854947815806e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4271.145453127218     All      -0.0004397195273249402     0.00012489545185578207     -0.001198059501895769      0.00013044978091889312     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7993.647289538064     All      1.382143804892129e-06      -2.3861806335834683e-07    7.532242281458222e-07      -4.943225241024424e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6189.6358334784945    All      -1.759402235167369e-05     4.869740799836162e-06      3.5371944287507736e-05     8.895674110390362e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5264.494025902344     All      0.00011779691985122305     9.888191724949041e-05      1.4715468011131621e-05     -5.504554880849383e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4296.371063790881     All      -0.00013830371260446444    2.843402418625866e-05      -0.0004779767135807768     3.298206092187514e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6245.856265596531     All      -0.0002853816650860011     1.545921321007374e-05      -0.00017337060670244105    9.025703751721186e-05      
MWEBV         All|All|All                       All                   All      -0.807203403316703         -3.9623131828224523        0.06882977496882213        -1.0246514984804629        
Redshift      All|All|All                       All                   All      4.427433665948871          -0.15889593550673098       0.6410965437055546         -1.4653092426605672        
