#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7722.9231218906625    All      0.4021649493914271         -0.06550316756968044       0.23500630063635342        -0.14184763966577432       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5232.007062552943     All      -0.02211834133425862       -0.012721694884909596      -0.41979277491291933       -0.015672626616847207      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4271.145453127218     All      -1.03369051688047          0.7211287083576323         0.04833142866248474        0.573759163180737          
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7993.647289538064     All      0.06410235866416035        -0.01087567387303423       0.03607412072892391        -0.022812989575678178      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6189.6358334784945    All      0.09630431118020388        -0.030394177765469266      -0.26976112962073806       -0.05330806635300139       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5264.494025902344     All      0.4034013144900992         0.4526845603309404         0.5524690729822868         0.04070733186951614        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4296.371063790881     All      -0.1167712401625239        0.010387490569030433       -0.5265679792850086        0.017921471521012422       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6245.856265596531     All      1.2015949229153136         -0.06575515203399718       0.32104033562659895        -0.3984910582959175        
Check         All|All|All                       All                   All      0.9949877582639516         0.9989508931305124         -0.023200625182018264      0.0002555860640470198      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7722.9231218906625    All      -6.692098375513546e-05     1.5113506428610459e-05     -3.849067309712254e-06     2.6549566111503367e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5232.007062552943     All      -1.9737872619931084e-05    -1.9815561796867506e-05    -0.0006003283463490995     -2.681520281002054e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4271.145453127218     All      -0.0005426346935747264     0.0002030204771474358      -0.0011279318104522643     0.0001925500041336163      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7993.647289538064     All      2.6638614613722176e-08     -2.7544589069991528e-08    -8.694624571081455e-07     -5.644936817834842e-08     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6189.6358334784945    All      9.646902214367598e-06      -1.6360988280517894e-06    2.0891232160519403e-05     -2.742964897859358e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5264.494025902344     All      0.00016067504249746964     0.0001137213861432801      -3.623332730588481e-05     -1.6911277587979076e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4296.371063790881     All      -0.0001656694959484247     1.0385250620615838e-05     -0.0008189596606729503     2.0800414676497185e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6245.856265596531     All      -0.00025222720356638456    1.8087355734484118e-05     -0.00012847102631889477    8.231727319061242e-05      
MWEBV         All|All|All                       All                   All      -0.8014658609448886        -3.9642448643250283        0.0721500152887189         -1.027001449930158         
Redshift      All|All|All                       All                   All      4.499637694529834          -0.3677730494788811        2.968218384428356          -1.4530178584175997        
