#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_i
@MAGSYS  Linear_AB11_off
54392.1  14.327  0.01
54394.09  14.191  0.008
54395.09  14.167  0.007
54398.0  14.169  0.009
54400.09  14.216  0.007
54403.06  14.295  0.007
54407.11  14.492  0.008
54409.07  14.646  0.01
54411.08  14.833  0.01
54413.09  14.921  0.006
54417.13  14.868  0.009
54421.05  14.756  0.008
54426.06  14.644  0.009
54428.07  14.653  0.005
54430.05  14.707  0.01
54435.04  15.075  0.006
54440.06  15.38  0.007
54443.13  15.522  0.006
54445.05  15.606  0.009
54449.05  15.784  0.007
54455.03  16.02  0.009
54456.05  16.045  0.009
54457.03  16.088  0.009
54466.03  16.408  0.009
54470.05  16.562  0.01
