#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7350.060659983649    All      0.5492029193396528         -0.11240731219803735       0.0761854966551087        -0.21210840993353103       
Zeropoint     AB|PS|PS_r                6068.328985392784    All      1.097141901880043          -0.0017815637628260106     0.021644914038731568      -0.3569896131659814        
Zeropoint     AB|PS|PS_g                4778.467225213564    All      -1.0749096812592738        1.2200088621404426         -0.12053180571785556      0.7421516892561467         
Zeropoint     AB|PS|PS_z                8447.013163288251    All      0.42706966975530214        -0.10676404936322825       0.021764343504222662      -0.17291596223402342       
Check         All|All|All               All                  All      0.998504809715724          0.999055936816351          -0.0009370515197926269    0.00013770392261089337     
Lambda        AB|PS|PS_i                7350.060659983649    All      -0.00013229771485016758    -5.1576114638514815e-05    -0.0008945216340110834    -1.3624711285949731e-05    
Lambda        AB|PS|PS_r                6068.328985392784    All      -0.0001602122207351369     -2.905115143676017e-05     -0.0004057471216486308    2.461684483143789e-05      
Lambda        AB|PS|PS_g                4778.467225213564    All      -0.00029108838105313344    4.266189826344105e-05      -0.0010153789245450427    6.340174809573408e-05      
Lambda        AB|PS|PS_z                8447.013163288251    All      0.0004993229654329097      -8.662295914603951e-05     0.0004628440709774752     -0.00017020725956190066    
MWEBV         All|All|All               All                  All      -0.6691979511902031        -4.054300967916191         -0.005191727038150348     -1.1028711020619593        
Redshift      All|All|All               All                  All      4.367535513553787          1.3464026709365307         1.8724879961703826        -0.900521819915933         
