#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7350.060659983649    All      0.5994791014450868        -0.14634352608506873       -0.03596975501669597       -0.24454413158548627       
Zeropoint     AB|PS|PS_r                6068.328985392784    All      1.0391141095527363        0.06145840904308031        0.32147733635844444        -0.3041085685435013        
Zeropoint     AB|PS|PS_g                4778.467225213564    All      -1.009434530351005        1.2036710152354857         -0.1365171423743261        0.7147891521437161         
Zeropoint     AB|PS|PS_z                8447.013163288251    All      0.3694982408395416        -0.12124967279305565       -0.15146791782469915       -0.16661205810246937       
Check         All|All|All               All                  All      0.9986569214863592        0.9975362254004416         -0.0024774788572767825     -0.0004756060877408874     
Lambda        AB|PS|PS_i                7350.060659983649    All      -8.573047445326461e-05    -5.485327974236086e-05     -0.0007798277239215016     -2.4742411552554393e-05    
Lambda        AB|PS|PS_r                6068.328985392784    All      2.291987919694065e-05     5.1302177176897044e-06     -0.00019355380231405637    -1.4432095243086863e-05    
Lambda        AB|PS|PS_g                4778.467225213564    All      -0.0004612166614010201    0.0003420048861038924      -0.0008571491782943245     0.0002233850521428632      
Lambda        AB|PS|PS_z                8447.013163288251    All      0.0003899574311372731     -0.00010910874234667542    4.267551703845471e-05      -0.00016065785916927693    
MWEBV         All|All|All               All                  All      -0.6562815347017446       -4.0681934132068776        -0.05044012880871529       -1.1136228586814094        
Redshift      All|All|All               All                  All      4.475709557939113         0.1509833803257976         3.6934567884837177         -1.2438835822772136        
