#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5035.550328012633     All      3.8246103289324775        0.26814914643544796       0.23488219390142284       -1.1479746976978942        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4205.0489939492045    All      -2.830596440135704        0.7339036729081982        -0.23470013575744852      1.1506013662687726         
Check         All|All|All                            All                   All      0.9940138887967739        1.0020528193436462        0.0001820581439743174     0.0026266685708784543      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5035.550328012633     All      0.0003607752914912899     -3.601916121580599e-05    -0.0007362048135456591    -0.00016210244695858347    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4205.0489939492045    All      -0.0008873049975657985    0.0001524637684334449     -0.0011706634543483304    0.0002864455611574991      
MWEBV         All|All|All                            All                   All      -0.03487867717607118      -2.2000871544737066       0.00793584008774717       -0.7049254942037833        
Redshift      All|All|All                            All                   All      7.302137570999502         0.7360923979646827        2.238979897056803         -2.038861539784377         
